zona,ciudad,precio,ambientes,bathrooms,area
GBA Norte,pilar,80.000,9.0,6.0,400
GBA Norte,pilar,140.000,3.0,4.0,2
GBA Norte,pilar,180.000,6.0,2.0,116
GBA Norte,pilar,120.000,4.0,2.0,175
GBA Norte,pilar,279.000,5.0,4.0,193
GBA Norte,pilar,395.000,1.0,5.0,235
GBA Norte,pilar,153.000,3.0,3.0,107
GBA Norte,pilar,184.900,,,167
GBA Norte,pilar,245.000,4.0,3.0,154
GBA Norte,pilar,490.000,4.0,2.0,178
GBA Norte,pilar,130.000,4.0,2.0,106
GBA Norte,pilar,238.500,5.0,3.0,142
GBA Norte,pilar,187.000,4.0,2.0,130
GBA Norte,pilar,300.000,4.0,2.0,150
GBA Norte,pilar,290.000,5.0,4.0,226
GBA Norte,pilar,229.000,5.0,3.0,190
GBA Norte,pilar,89.900,3.0,,120
GBA Norte,pilar,175.000,4.0,2.0,130
GBA Norte,pilar,189.000,5.0,3.0,145
GBA Norte,pilar,149.000,6.0,3.0,120
GBA Norte,pilar,170.000,5.0,2.0,151
GBA Norte,pilar,2.200.000,10.0,10.0,980
GBA Norte,pilar,162.000,4.0,2.0,110
GBA Norte,pilar,125.000,3.0,2.0,80
GBA Norte,pilar,232.000,4.0,3.0,130
GBA Norte,pilar,475.000,7.0,2.0,255
GBA Norte,pilar,155.000,4.0,2.0,125
GBA Norte,pilar,345.000,5.0,2.0,230
GBA Norte,pilar,199.000,4.0,3.0,147
GBA Norte,pilar,185.000,4.0,2.0,168
GBA Norte,pilar,105.000,5.0,2.0,190
GBA Norte,pilar,189.000,4.0,3.0,148
GBA Norte,pilar,680.000,4.0,3.0,260
GBA Norte,pilar,430.000,4.0,2.0,205
GBA Norte,pilar,153.000,3.0,2.0,117
GBA Norte,pilar,285.000,3.0,3.0,170
GBA Norte,pilar,167.000,3.0,2.0,120
GBA Norte,pilar,250.000,1.0,2.0,80
GBA Norte,pilar,200.000,4.0,2.0,124
GBA Norte,pilar,168.000,4.0,2.0,190
GBA Norte,pilar,185.000,4.0,1.0,120
GBA Norte,pilar,735.000,6.0,4.0,287
GBA Norte,pilar,1.100.000,6.0,4.0,1
GBA Norte,pilar,620.000,6.0,3.0,237
GBA Norte,pilar,450.000,3.0,6.0,331
GBA Norte,pilar,1.450.000,7.0,2.0,423
GBA Norte,pilar,395.000,7.0,3.0,318
GBA Norte,pilar,280.000,4.0,3.0,170
GBA Norte,pilar,260.000,5.0,3.0,180
GBA Norte,pilar,210.000,5.0,3.0,180
GBA Norte,escobar,86.000,1.0,6.0,87
GBA Norte,escobar,319.000,6.0,4.0,252
GBA Norte,escobar,75.000,5.0,5.0,181
GBA Norte,escobar,80.000,4.0,5.0,320
GBA Norte,escobar,245.000,3.0,2.0,175
GBA Norte,escobar,190.000,6.0,2.0,165
GBA Norte,escobar,290.000,5.0,4.0,208
GBA Norte,escobar,79.000,2.0,4.0,710
GBA Norte,escobar,299.000,5.0,3.0,184
GBA Norte,escobar,610.000,7.0,5.0,291
GBA Norte,escobar,350.000,6.0,4.0,300
GBA Norte,escobar,295.000,5.0,3.0,167
GBA Norte,escobar,64.800,3.0,1.0,60
GBA Norte,escobar,239.000,3.0,3.0,162
