zone,city,price,rooms,bathrooms,area
GBA Norte,pilar,80000.0,9,6,400
GBA Norte,pilar,180000.0,6,2,116
GBA Norte,pilar,120000.0,4,2,175
GBA Norte,pilar,279000.0,5,4,193
GBA Norte,pilar,395000.0,1,5,235
GBA Norte,pilar,153000.0,3,3,107
GBA Norte,pilar,245000.0,4,3,154
GBA Norte,pilar,490000.0,4,2,178
GBA Norte,pilar,130000.0,4,2,106
GBA Norte,pilar,238500.0,5,3,142
GBA Norte,pilar,187000.0,4,2,130
GBA Norte,pilar,300000.0,4,2,150
GBA Norte,pilar,290000.0,5,4,226
GBA Norte,pilar,229000.0,5,3,190
GBA Norte,pilar,175000.0,4,2,130
GBA Norte,pilar,189000.0,5,3,145
GBA Norte,pilar,149000.0,6,3,120
GBA Norte,pilar,170000.0,5,2,151
GBA Norte,pilar,162000.0,4,2,110
GBA Norte,pilar,125000.0,3,2,80
GBA Norte,pilar,232000.0,4,3,130
GBA Norte,pilar,475000.0,7,2,255
GBA Norte,pilar,155000.0,4,2,125
GBA Norte,pilar,345000.0,5,2,230
GBA Norte,pilar,199000.0,4,3,147
GBA Norte,pilar,185000.0,4,2,168
GBA Norte,pilar,105000.0,5,2,190
GBA Norte,pilar,189000.0,4,3,148
GBA Norte,pilar,680000.0,4,3,260
GBA Norte,pilar,430000.0,4,2,205
GBA Norte,pilar,153000.0,3,2,117
GBA Norte,pilar,285000.0,3,3,170
GBA Norte,pilar,167000.0,3,2,120
GBA Norte,pilar,250000.0,1,2,80
GBA Norte,pilar,200000.0,4,2,124
GBA Norte,pilar,168000.0,4,2,190
GBA Norte,pilar,185000.0,4,1,120
GBA Norte,pilar,735000.0,6,4,287
GBA Norte,pilar,620000.0,6,3,237
GBA Norte,pilar,450000.0,3,6,331
GBA Norte,pilar,395000.0,7,3,318
GBA Norte,pilar,280000.0,4,3,170
GBA Norte,pilar,260000.0,5,3,180
GBA Norte,pilar,210000.0,5,3,180
GBA Norte,escobar,86000.0,1,6,87
GBA Norte,escobar,319000.0,6,4,252
GBA Norte,escobar,75000.0,5,5,181
GBA Norte,escobar,80000.0,4,5,320
GBA Norte,escobar,245000.0,3,2,175
GBA Norte,escobar,190000.0,6,2,165
GBA Norte,escobar,290000.0,5,4,208
GBA Norte,escobar,79000.0,2,4,710
GBA Norte,escobar,299000.0,5,3,184
GBA Norte,escobar,610000.0,7,5,291
GBA Norte,escobar,350000.0,6,4,300
GBA Norte,escobar,295000.0,5,3,167
GBA Norte,escobar,64800.0,3,1,60
GBA Norte,escobar,239000.0,3,3,162
GBA Norte,escobar,480000.0,10,6,249
GBA Norte,escobar,67500.0,1,1,60
GBA Norte,escobar,75000.0,3,1,52
GBA Norte,escobar,58000.0,2,1,80
GBA Norte,escobar,135000.0,4,3,110
GBA Norte,escobar,123000.0,3,1,120
GBA Norte,escobar,170000.0,4,2,190
GBA Norte,escobar,379000.0,5,4,196
GBA Norte,escobar,275000.0,5,2,200
GBA Norte,escobar,128000.0,5,2,73
GBA Norte,escobar,298000.0,4,4,175
GBA Norte,escobar,135000.0,5,2,120
GBA Norte,escobar,540000.0,6,3,227
GBA Norte,escobar,295000.0,5,3,228
GBA Norte,escobar,210000.0,6,3,150
GBA Norte,escobar,359000.0,5,3,115
GBA Norte,escobar,585000.0,5,2,245
